-5.0e2 -5.0e2 4.78554e3 4.78554e3
-4.5e2 -5.0e2 4.30748e3 4.30748e3
-4.0e2 -5.0e2 3.82944e3 3.82944e3
-3.5e2 -5.0e2 3.35138e3 3.35138e3
-3.0e2 -5.0e2 2.87332e3 2.87332e3
-2.5e2 -5.0e2 2.39526e3 2.39526e3
-2.0e2 -5.0e2 1.9172e3 1.9172e3
-1.5e2 -5.0e2 1.43916e3 1.43916e3
-1.0e2 -5.0e2 9.61108e2 9.61108e2
-5.0e1 -5.0e2 4.83054e2 4.83054e2
0.0e0 -5.0e2 5.0e0 5.0e0
5.0e1 -5.0e2 -4.73055e2 -4.73055e2
1.0e2 -5.0e2 -9.5111e2 -9.5111e2
1.5e2 -5.0e2 -1.42915e3 -1.42915e3
2.0e2 -5.0e2 -1.90721e3 -1.90721e3
2.5e2 -5.0e2 -2.38527e3 -2.38527e3
3.0e2 -5.0e2 -2.86333e3 -2.86333e3
3.5e2 -5.0e2 -3.34137e3 -3.34137e3
4.0e2 -5.0e2 -3.81943e3 -3.81943e3
4.5e2 -5.0e2 -4.29749e3 -4.29749e3
5.0e2 -5.0e2 -4.77554e3 -4.77554e3

-5.0e2 -4.5e2 4.30998e3 4.30998e3
-4.5e2 -4.5e2 3.87973e3 3.87973e3
-4.0e2 -4.5e2 3.4495e3 3.4495e3
-3.5e2 -4.5e2 3.01924e3 3.01924e3
-3.0e2 -4.5e2 2.58899e3 2.58899e3
-2.5e2 -4.5e2 2.15874e3 2.15874e3
-2.0e2 -4.5e2 1.72849e3 1.72849e3
-1.5e2 -4.5e2 1.29825e3 1.29825e3
-1.0e2 -4.5e2 8.67998e2 8.67998e2
-5.0e1 -4.5e2 4.37749e2 4.37749e2
0.0e0 -4.5e2 7.5e0 7.5e0
5.0e1 -4.5e2 -4.2275e2 -4.2275e2
1.0e2 -4.5e2 -8.52998e2 -8.52998e2
1.5e2 -4.5e2 -1.28323e3 -1.28323e3
2.0e2 -4.5e2 -1.71349e3 -1.71349e3
2.5e2 -4.5e2 -2.14374e3 -2.14374e3
3.0e2 -4.5e2 -2.57399e3 -2.57399e3
3.5e2 -4.5e2 -3.00424e3 -3.00424e3
4.0e2 -4.5e2 -3.4345e3 -3.4345e3
4.5e2 -4.5e2 -3.86473e3 -3.86473e3
5.0e2 -4.5e2 -4.29498e3 -4.29498e3

