5.0e2 -1.0e1 -6.61108e1 -6.61108e1
5.050504e2 -1.0e1 -6.70766e1 -6.70766e1
5.101008e2 -1.0e1 -6.80424e1 -6.80424e1
5.151512e2 -1.0e1 -6.90082e1 -6.90082e1
5.202016e2 -1.0e1 -6.99739e1 -6.99739e1
5.25252e2 -1.0e1 -7.09396e1 -7.09396e1
5.303024e2 -1.0e1 -7.19054e1 -7.19054e1
5.353528e2 -1.0e1 -7.28711e1 -7.28711e1
5.404032e2 -1.0e1 -7.38368e1 -7.38368e1
5.454536e2 -1.0e1 -7.48026e1 -7.48026e1
5.50504e2 -1.0e1 -7.57684e1 -7.57684e1
5.555544e2 -1.0e1 -7.67342e1 -7.67342e1
5.606048e2 -1.0e1 -7.76999e1 -7.76999e1
5.656552e2 -1.0e1 -7.86656e1 -7.86656e1
5.707056e2 -1.0e1 -7.96313e1 -7.96313e1
5.75756e2 -1.0e1 -8.05971e1 -8.05971e1
5.808064e2 -1.0e1 -8.15628e1 -8.15628e1
5.858568e2 -1.0e1 -8.25285e1 -8.25285e1
5.909072e2 -1.0e1 -8.34943e1 -8.34943e1
5.959576e2 -1.0e1 -8.44601e1 -8.44601e1
6.01008e2 -1.0e1 -8.54259e1 -8.54259e1
6.060584e2 -1.0e1 -8.63916e1 -8.63916e1
6.111088e2 -1.0e1 -8.73573e1 -8.73573e1
6.161592e2 -1.0e1 -8.8323e1 -8.8323e1
6.212096e2 -1.0e1 -8.92888e1 -8.92888e1
6.2626e2 -1.0e1 -9.02545e1 -9.02545e1
6.313104e2 -1.0e1 -9.12204e1 -9.12204e1
6.363608e2 -1.0e1 -9.21861e1 -9.21861e1
6.414112e2 -1.0e1 -9.31519e1 -9.31519e1
6.464616e2 -1.0e1 -9.41176e1 -9.41176e1
6.51512e2 -1.0e1 -9.50833e1 -9.50833e1
6.565624e2 -1.0e1 -9.6049e1 -9.6049e1
6.616128e2 -1.0e1 -9.70148e1 -9.70148e1
6.666632e2 -1.0e1 -9.79805e1 -9.79805e1
6.717136e2 -1.0e1 -9.89462e1 -9.89462e1
6.7676399e2 -1.0e1 -9.9912e1 -9.9912e1
6.8181439e2 -1.0e1 -1.00877e2 -1.00877e2
6.8686479e2 -1.0e1 -1.01843e2 -1.01843e2
6.9191519e2 -1.0e1 -1.02809e2 -1.02809e2
6.9696559e2 -1.0e1 -1.03775e2 -1.03775e2
7.0201599e2 -1.0e1 -1.04741e2 -1.04741e2
