
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
# IsoCurve 2, 50 points
# x y z type
2.0000000e+02 -1.8400000e+01 -4.1289696e+01 i
2.1630612e+02 -1.8400000e+01 -4.7026980e+01 i
2.3261224e+02 -1.8400000e+01 -5.2764265e+01 i
2.4891837e+02 -1.8400000e+01 -5.8501549e+01 i
2.6522449e+02 -1.8400000e+01 -6.4238834e+01 i
2.8153061e+02 -1.8400000e+01 -6.9976118e+01 i
2.9783673e+02 -1.8400000e+01 -7.5713402e+01 i
3.1414286e+02 -1.8400000e+01 -8.1450687e+01 i
3.3044898e+02 -1.8400000e+01 -8.7187971e+01 i
3.4675510e+02 -1.8400000e+01 -9.2925256e+01 i
3.6306122e+02 -1.8400000e+01 -9.8662540e+01 i
3.7936735e+02 -1.8400000e+01 -1.0439982e+02 i
3.9567347e+02 -1.8400000e+01 -1.1013711e+02 i
4.1197959e+02 -1.8400000e+01 -1.1587439e+02 i
4.2828571e+02 -1.8400000e+01 -1.2161168e+02 i
4.4459184e+02 -1.8400000e+01 -1.2734896e+02 i
4.6089796e+02 -1.8400000e+01 -1.3308625e+02 i
4.7720408e+02 -1.8400000e+01 -1.3882353e+02 i
4.9351020e+02 -1.8400000e+01 -1.4456082e+02 i
5.0981633e+02 -1.8400000e+01 -1.5029810e+02 i
5.2612245e+02 -1.8400000e+01 -1.5603538e+02 i
5.4242857e+02 -1.8400000e+01 -1.6177267e+02 i
5.5873469e+02 -1.8400000e+01 -1.6750995e+02 i
5.7504082e+02 -1.8400000e+01 -1.7324724e+02 i
5.9134694e+02 -1.8400000e+01 -1.7898452e+02 i
6.0765306e+02 -1.8400000e+01 -1.8472181e+02 i
6.2395918e+02 -1.8400000e+01 -1.9045909e+02 i
6.4026531e+02 -1.8400000e+01 -1.9619637e+02 i
6.5657143e+02 -1.8400000e+01 -2.0193366e+02 i
6.7287755e+02 -1.8400000e+01 -2.0767094e+02 i
6.8918367e+02 -1.8400000e+01 -2.1340823e+02 i
7.0548980e+02 -1.8400000e+01 -2.1914551e+02 i
7.2179592e+02 -1.8400000e+01 -2.2488280e+02 i
7.3810204e+02 -1.8400000e+01 -2.3062008e+02 i
7.5440816e+02 -1.8400000e+01 -2.3635737e+02 i
7.7071429e+02 -1.8400000e+01 -2.4209465e+02 i
7.8702041e+02 -1.8400000e+01 -2.4783193e+02 i
8.0332653e+02 -1.8400000e+01 -2.5356922e+02 i
8.1963265e+02 -1.8400000e+01 -2.5930650e+02 i
8.3593878e+02 -1.8400000e+01 -2.6504379e+02 i
8.5224490e+02 -1.8400000e+01 -2.7078107e+02 i
8.6855102e+02 -1.8400000e+01 -2.7651836e+02 i
8.8485714e+02 -1.8400000e+01 -2.8225564e+02 i
9.0116327e+02 -1.8400000e+01 -2.8799293e+02 i
9.1746939e+02 -1.8400000e+01 -2.9373021e+02 i
9.3377551e+02 -1.8400000e+01 -2.9946749e+02 i
9.5008163e+02 -1.8400000e+01 -3.0520478e+02 i
9.6638776e+02 -1.8400000e+01 -3.1094206e+02 i
9.8269388e+02 -1.8400000e+01 -3.1667935e+02 i
9.9900000e+02 -1.8400000e+01 -3.2241663e+02 i

# IsoCurve 3, 50 points
# x y z type
2.0000000e+02 -1.7600000e+01 -3.8190144e+01 i
2.1630612e+02 -1.7600000e+01 -4.3677981e+01 i
2.3261224e+02 -1.7600000e+01 -4.9165819e+01 i
2.4891837e+02 -1.7600000e+01 -5.4653656e+01 i
2.6522449e+02 -1.7600000e+01 -6.0141493e+01 i
2.8153061e+02 -1.7600000e+01 -6.5629330e+01 i
2.9783673e+02 -1.7600000e+01 -7.1117168e+01 i
3.1414286e+02 -1.7600000e+01 -7.6605005e+01 i
3.3044898e+02 -1.7600000e+01 -8.2092842e+01 i
3.4675510e+02 -1.7600000e+01 -8.7580679e+01 i
3.6306122e+02 -1.7600000e+01 -9.3068517e+01 i
3.7936735e+02 -1.7600000e+01 -9.8556354e+01 i
3.9567347e+02 -1.7600000e+01 -1.0404419e+02 i
4.1197959e+02 -1.7600000e+01 -1.0953203e+02 i
4.2828571e+02 -1.7600000e+01 -1.1501987e+02 i
4.4459184e+02 -1.7600000e+01 -1.2050770e+02 i
4.6089796e+02 -1.7600000e+01 -1.2599554e+02 i
4.7720408e+02 -1.7600000e+01 -1.3148338e+02 i
4.9351020e+02 -1.7600000e+01 -1.3697121e+02 i
5.0981633e+02 -1.7600000e+01 -1.4245905e+02 i
5.2612245e+02 -1.7600000e+01 -1.4794689e+02 i
5.4242857e+02 -1.7600000e+01 -1.5343473e+02 i
5.5873469e+02 -1.7600000e+01 -1.5892256e+02 i
5.7504082e+02 -1.7600000e+01 -1.6441040e+02 i
5.9134694e+02 -1.7600000e+01 -1.6989824e+02 i
6.0765306e+02 -1.7600000e+01 -1.7538608e+02 i
6.2395918e+02 -1.7600000e+01 -1.8087391e+02 i
6.4026531e+02 -1.7600000e+01 -1.8636175e+02 i
6.5657143e+02 -1.7600000e+01 -1.9184959e+02 i
6.7287755e+02 -1.7600000e+01 -1.9733742e+02 i
6.8918367e+02 -1.7600000e+01 -2.0282526e+02 i
7.0548980e+02 -1.7600000e+01 -2.0831310e+02 i
7.2179592e+02 -1.7600000e+01 -2.1380094e+02 i
7.3810204e+02 -1.7600000e+01 -2.1928877e+02 i
7.5440816e+02 -1.7600000e+01 -2.2477661e+02 i
7.7071429e+02 -1.7600000e+01 -2.3026445e+02 i
7.8702041e+02 -1.7600000e+01 -2.3575229e+02 i
8.0332653e+02 -1.7600000e+01 -2.4124012e+02 i
8.1963265e+02 -1.7600000e+01 -2.4672796e+02 i
8.3593878e+02 -1.7600000e+01 -2.5221580e+02 i
8.5224490e+02 -1.7600000e+01 -2.5770363e+02 i
8.6855102e+02 -1.7600000e+01 -2.6319147e+02 i
8.8485714e+02 -1.7600000e+01 -2.6867931e+02 i
9.0116327e+02 -1.7600000e+01 -2.7416715e+02 i
9.1746939e+02 -1.7600000e+01 -2.7965498e+02 i
